InfomationStyle=1
(Description:1--Origin Path;2--Effective Centre Line;3--Effective Contours Line;4--Tape Centre Line;5--TreeInfo)
MeshDATAFile=E:\huangwei\SoftwareCheck202111\NewModelTest20220513\20jqd_r18_202220612_DATA\Plies Group.1_STLMeshData.stl
Placement Parameter Output:
Width=6.35 mm	Gap=0.200 mm	TapNums=8 
NormalTag=0
Model Information Output:
ModelName=Plies Group.1\Sequence.2\Ply.2
PointNum=6739 	EdgeNum=19897 	FacetNum=13158 
AngelStart=45 deg
TotalNum=70
Output Start
tiaoshu=1	dianshu=199
x=2397.735013	y=265.058313	z=-328.366266	Nx=-0.037976	Ny=0.027069	Nz=-0.998912	FaceNum=5509
x=2402.771333	y=260.119359	z=-328.698207	Nx=-0.037255	Ny=0.026316	Nz=-0.998959	FaceNum=5149
x=2409.309869	y=253.675326	z=-329.129983	Nx=-0.034691	Ny=0.025136	Nz=-0.999082	FaceNum=5149
x=2431.924280	y=231.390797	z=-330.307996	Nx=-0.026333	Ny=0.071831	Nz=-0.997069	FaceNum=5508
x=2435.224798	y=228.138280	z=-330.490505	Nx=-0.025360	Ny=0.073501	Nz=-0.996973	FaceNum=5354
x=2441.156488	y=222.293645	z=-330.716958	Nx=-0.025045	Ny=0.026364	Nz=-0.999339	FaceNum=5505
x=2441.176800	y=222.277329	z=-330.729041	Nx=-0.022808	Ny=0.091109	Nz=-0.995580	FaceNum=6151
x=2441.486676	y=221.972509	z=-330.724379	Nx=-0.022995	Ny=0.070846	Nz=-0.997222	FaceNum=5735
x=2453.231700	y=210.395187	z=-331.201863	Nx=-0.019167	Ny=0.082298	Nz=-0.996423	FaceNum=5935
x=2464.603702	y=199.106925	z=-331.665516	Nx=-0.014867	Ny=0.101517	Nz=-0.994723	FaceNum=5935
x=2482.271535	y=181.569773	z=-332.060793	Nx=-0.010184	Ny=0.071857	Nz=-0.997363	FaceNum=5932
x=2499.540867	y=164.428142	z=-332.517070	Nx=-0.005732	Ny=0.045781	Nz=-0.998935	FaceNum=5933
x=2503.826572	y=160.174064	z=-332.548052	Nx=-0.002915	Ny=0.030648	Nz=-0.999526	FaceNum=5914
x=2522.240914	y=141.563112	z=-332.683306	Nx=0.000900	Ny=0.004247	Nz=-0.999991	FaceNum=5914
x=2533.786523	y=129.894137	z=-332.740242	Nx=0.004857	Ny=0.002001	Nz=-0.999986	FaceNum=5915
x=2541.788293	y=121.805472	z=-332.617215	Nx=0.007544	Ny=0.000484	Nz=-0.999971	FaceNum=5905
x=2554.048769	y=109.412049	z=-332.481864	Nx=0.011218	Ny=-0.001801	Nz=-0.999935	FaceNum=5904
x=2567.368541	y=95.674137	z=-332.334179	Nx=0.016164	Ny=-0.004347	Nz=-0.999860	FaceNum=5904
x=2580.390395	y=82.240711	z=-331.953995	Nx=0.021789	Ny=-0.007440	Nz=-0.999735	FaceNum=5894
x=2585.723270	y=76.739618	z=-331.828665	Nx=0.024086	Ny=-0.008694	Nz=-0.999672	FaceNum=5893
x=2603.491178	y=58.406869	z=-331.137524	Nx=0.031435	Ny=-0.012694	Nz=-0.999425	FaceNum=5720
x=2603.778873	y=58.103331	z=-331.126265	Nx=0.031710	Ny=-0.012853	Nz=-0.999414	FaceNum=5720
x=2603.897072	y=57.978667	z=-331.122316	Nx=0.031761	Ny=-0.012880	Nz=-0.999413	FaceNum=5719
x=2604.309245	y=57.543814	z=-331.101446	Nx=0.031925	Ny=-0.012969	Nz=-0.999406	FaceNum=5706
x=2627.701688	y=32.863357	z=-329.879163	Nx=0.041322	Ny=-0.018043	Nz=-0.998983	FaceNum=5707
x=2636.974595	y=23.075070	z=-329.215047	Nx=0.045402	Ny=-0.020234	Nz=-0.998764	FaceNum=5695
x=2651.182087	y=8.080074	z=-328.274841	Nx=0.051636	Ny=-0.023559	Nz=-0.998388	FaceNum=5694
x=2652.342199	y=6.855145	z=-328.174920	Nx=0.055630	Ny=-0.025574	Nz=-0.998124	FaceNum=5683
x=2669.234468	y=-11.054051	z=-326.717827	Nx=0.060157	Ny=-0.028071	Nz=-0.997794	FaceNum=5683
x=2674.311302	y=-16.435538	z=-326.307871	Nx=0.062546	Ny=-0.029327	Nz=-0.997611	FaceNum=5682
x=2687.808816	y=-30.753243	z=-324.928036	Nx=0.068975	Ny=-0.032699	Nz=-0.997082	FaceNum=5887
x=2699.925348	y=-43.606981	z=-323.667279	Nx=0.074641	Ny=-0.035556	Nz=-0.996576	FaceNum=5888
x=2701.396287	y=-45.167428	z=-323.479920	Nx=0.076900	Ny=-0.036521	Nz=-0.996370	FaceNum=5873
x=2704.906293	y=-48.952010	z=-323.030473	Nx=0.077374	Ny=-0.036979	Nz=-0.996316	FaceNum=5873
x=2725.009254	y=-70.622033	z=-320.568329	Nx=0.087791	Ny=-0.042231	Nz=-0.995243	FaceNum=5874
x=2739.887987	y=-86.679480	z=-318.383184	Nx=0.095792	Ny=-0.046327	Nz=-0.994323	FaceNum=5663
x=2749.652700	y=-97.214712	z=-317.004507	Nx=0.101098	Ny=-0.048990	Nz=-0.993670	FaceNum=5664
x=2749.921226	y=-97.502164	z=-316.959916	Nx=0.105602	Ny=-0.051165	Nz=-0.993091	FaceNum=5871
x=2773.557069	y=-123.436085	z=-313.002043	Nx=0.114991	Ny=-0.055716	Nz=-0.991803	FaceNum=5871
x=2773.754540	y=-123.652690	z=-312.970116	Nx=0.115106	Ny=-0.055773	Nz=-0.991786	FaceNum=5870
x=2774.274847	y=-124.224368	z=-312.871838	Nx=0.115418	Ny=-0.055923	Nz=-0.991742	FaceNum=5862
x=2794.451972	y=-146.393153	z=-309.067215	Nx=0.127879	Ny=-0.062601	Nz=-0.989812	FaceNum=5863
x=2797.732117	y=-149.999457	z=-308.399123	Nx=0.130052	Ny=-0.064061	Nz=-0.989436	FaceNum=5660
x=2800.983363	y=-153.622010	z=-307.733756	Nx=0.131554	Ny=-0.064863	Nz=-0.989185	FaceNum=5660
x=2811.721413	y=-165.593438	z=-305.449870	Nx=0.137875	Ny=-0.068499	Nz=-0.988078	FaceNum=5659
x=2823.244087	y=-178.449775	z=-302.880126	Nx=0.146049	Ny=-0.072234	Nz=-0.986637	FaceNum=5658
x=2824.791115	y=-180.177151	z=-302.521264	Nx=0.147383	Ny=-0.072956	Nz=-0.986385	FaceNum=5657
x=2830.391816	y=-186.435737	z=-301.167479	Nx=0.151347	Ny=-0.075112	Nz=-0.985623	FaceNum=5656
x=2836.665236	y=-193.443579	z=-299.677488	Nx=0.155958	Ny=-0.077763	Nz=-0.984698	FaceNum=7434
x=2845.556893	y=-203.391413	z=-297.395952	Nx=0.161230	Ny=-0.080329	Nz=-0.983642	FaceNum=7356
x=2846.728788	y=-204.768405	z=-297.089730	Nx=0.163242	Ny=-0.081312	Nz=-0.983230	FaceNum=7356
x=2854.290615	y=-213.651898	z=-295.131099	Nx=0.168706	Ny=-0.083779	Nz=-0.982100	FaceNum=7315
x=2858.206448	y=-218.265678	z=-293.998111	Nx=0.171472	Ny=-0.085099	Nz=-0.981507	FaceNum=7311
x=2876.293563	y=-239.567234	z=-288.843840	Nx=0.184626	Ny=-0.090184	Nz=-0.978662	FaceNum=7310
x=2882.182522	y=-246.521039	z=-287.015888	Nx=0.190260	Ny=-0.093022	Nz=-0.977317	FaceNum=7216
x=2887.110225	y=-252.336322	z=-285.513794	Nx=0.194673	Ny=-0.095089	Nz=-0.976248	FaceNum=7215
x=2891.693164	y=-257.756402	z=-284.026251	Nx=0.199369	Ny=-0.097592	Nz=-0.975053	FaceNum=7208
x=2894.985197	y=-261.731551	z=-282.949509	Nx=0.202153	Ny=-0.098901	Nz=-0.974347	FaceNum=7208
